Start time: 2011-4-1 16:02:07
Channels:1
Time [ms],Y1 label
14847,172.000,0.000
14848,171.000,0.000
14849,171.000,0.000
14850,171.000,0.000
14851,171.000,0.000
14852,172.000,0.000
14853,173.000,0.000
14854,173.000,0.000
14855,172.000,0.000
14856,172.000,0.000
14857,171.000,0.000
14858,171.000,0.000
14859,170.000,0.000
14860,171.000,0.000
14861,172.000,0.000
14862,172.000,0.000
14863,172.000,0.000
14864,172.000,0.000
14865,171.000,0.000
14866,170.000,0.000
14867,170.000,0.000
14868,170.000,0.000
14869,172.000,0.000
14870,172.000,0.000
14871,172.000,0.000
14872,172.000,0.000
14873,172.000,0.000
14874,171.000,0.000
14875,170.000,0.000
14876,171.000,0.000
14877,171.000,0.000
14878,172.000,0.000
14879,172.000,0.000
14880,172.000,0.000
14881,172.000,0.000
14882,171.000,0.000
14883,170.000,0.000
14884,170.000,0.000
14885,171.000,0.000
14886,171.000,0.000
14887,172.000,0.000
14888,173.000,0.000
14889,173.000,0.000
14890,172.000,0.000
14891,171.000,0.000
14892,170.000,0.000
14893,170.000,0.000
14894,171.000,0.000
14895,171.000,0.000
14896,172.000,0.000
14897,172.000,0.000
14898,172.000,0.000
14899,170.000,0.000
14900,170.000,0.000
14901,170.000,0.000
14902,170.000,0.000
14903,171.000,0.000
14904,172.000,0.000
14905,173.000,0.000
14906,172.000,0.000
14907,172.000,0.000
14908,171.000,0.000
14909,171.000,0.000
14910,171.000,0.000
14911,171.000,0.000
14912,172.000,0.000
14913,172.000,0.000
14914,173.000,0.000
14915,172.000,0.000
14916,171.000,0.000
14917,171.000,0.000
14918,170.000,0.000
14919,170.000,0.000
14920,171.000,0.000
14921,172.000,0.000
14922,173.000,0.000
14923,172.000,0.000
14924,172.000,0.000
14925,171.000,0.000
14926,170.000,0.000
14927,170.000,0.000
14928,171.000,0.000
14929,172.000,0.000
14930,172.000,0.000
14931,172.000,0.000
14932,172.000,0.000
14933,171.000,0.000
14934,171.000,0.000
14935,170.000,0.000
14936,170.000,0.000
14937,171.000,0.000
14938,172.000,0.000
14939,172.000,0.000
14940,172.000,0.000
14941,172.000,0.000
14942,171.000,0.000
14943,170.000,0.000
14944,170.000,0.000
14945,171.000,0.000
14946,172.000,0.000
14947,172.000,0.000
14948,173.000,0.000
14949,173.000,0.000
14950,172.000,0.000
14951,171.000,0.000
14952,170.000,0.000
14953,171.000,0.000
14954,171.000,0.000
14955,172.000,0.000
14956,172.000,0.000
14957,173.000,0.000
14958,172.000,0.000
14959,171.000,0.000
14960,171.000,0.000
14961,171.000,0.000
14962,171.000,0.000
14963,172.000,0.000
14964,173.000,0.000
14965,173.000,0.000
14966,173.000,0.000
14967,172.000,0.000
14968,171.000,0.000
14969,171.000,0.000
14970,171.000,0.000
14971,171.000,0.000
14972,172.000,0.000
14973,173.000,0.000
14974,173.000,0.000
14975,172.000,0.000
14976,172.000,0.000
14977,171.000,0.000
14978,171.000,0.000
14979,171.000,0.000
14980,172.000,0.000
14981,173.000,0.000
14982,173.000,0.000
14983,173.000,0.000
14984,172.000,0.000
14985,171.000,0.000
14986,171.000,0.000
14987,170.000,0.000
14988,171.000,0.000
14989,172.000,0.000
14990,173.000,0.000
14991,172.000,0.000
14992,172.000,0.000
14993,171.000,0.000
14994,171.000,0.000
14995,170.000,0.000
14996,171.000,0.000
14997,172.000,0.000
14998,172.000,0.000
14999,172.000,0.000
15000,173.000,0.000
15001,172.000,0.000
15002,171.000,0.000
15003,170.000,0.000
15004,171.000,0.000
15005,171.000,0.000
15006,172.000,0.000
15007,172.000,0.000
15008,172.000,0.000
15009,172.000,0.000
15010,171.000,0.000
15011,170.000,0.000
15012,170.000,0.000
15013,171.000,0.000
15014,171.000,0.000
15015,172.000,0.000
15016,172.000,0.000
15017,172.000,0.000
15018,172.000,0.000
15019,170.000,0.000
15020,170.000,0.000
15021,170.000,0.000
15022,171.000,0.000
15023,171.000,0.000
15024,172.000,0.000
15025,172.000,0.000
15026,172.000,0.000
15027,171.000,0.000
15028,170.000,0.000
15029,170.000,0.000
15030,170.000,0.000
15031,171.000,0.000
15032,172.000,0.000
15033,173.000,0.000
15034,173.000,0.000
15035,172.000,0.000
15036,171.000,0.000
15037,171.000,0.000
15038,171.000,0.000
15039,171.000,0.000
15040,172.000,0.000
15041,172.000,0.000
15042,173.000,0.000
15043,172.000,0.000
15044,171.000,0.000
15045,171.000,0.000
15046,170.000,0.000
15047,170.000,0.000
15048,171.000,0.000
15049,172.000,0.000
15050,173.000,0.000
15051,172.000,0.000
15052,172.000,0.000
15053,171.000,0.000
15054,171.000,0.000
15055,170.000,0.000
15056,171.000,0.000
15057,172.000,0.000
15058,172.000,0.000
15059,172.000,0.000
15060,172.000,0.000
15061,172.000,0.000
15062,171.000,0.000
15063,170.000,0.000
15064,170.000,0.000
15065,171.000,0.000
15066,172.000,0.000
15067,172.000,0.000
15068,172.000,0.000
15069,172.000,0.000
15070,171.000,0.000
15071,170.000,0.000
15072,171.000,0.000
15073,171.000,0.000
15074,172.000,0.000
15075,172.000,0.000
15076,173.000,0.000
15077,173.000,0.000
15078,172.000,0.000
15079,171.000,0.000
15080,170.000,0.000
15081,171.000,0.000
15082,171.000,0.000
15083,172.000,0.000
15084,173.000,0.000
15085,173.000,0.000
15086,172.000,0.000
15087,171.000,0.000
15088,171.000,0.000
15089,171.000,0.000
15090,171.000,0.000
15091,172.000,0.000
15092,173.000,0.000
15093,173.000,0.000
15094,173.000,0.000
15095,172.000,0.000
15096,171.000,0.000
15097,171.000,0.000
15098,171.000,0.000
15099,171.000,0.000
15100,172.000,0.000
15101,173.000,0.000
15102,173.000,0.000
15103,172.000,0.000
15104,171.000,0.000
15105,171.000,0.000
15106,171.000,0.000
15107,171.000,0.000
15108,172.000,0.000
15109,173.000,0.000
15110,173.000,0.000
15111,172.000,0.000
15112,172.000,0.000
15113,171.000,0.000
15114,171.000,0.000
15115,170.000,0.000
15116,171.000,0.000
15117,172.000,0.000
15118,173.000,0.000
15119,172.000,0.000
15120,172.000,0.000
15121,171.000,0.000
15122,171.000,0.000
15123,170.000,0.000
15124,171.000,0.000
15125,172.000,0.000
15126,173.000,0.000
15127,173.000,0.000
15128,173.000,0.000
15129,173.000,0.000
15130,172.000,0.000
15131,171.000,0.000
15132,171.000,0.000
15133,171.000,0.000
15134,172.000,0.000
15135,172.000,0.000
15136,173.000,0.000
15137,172.000,0.000
15138,172.000,0.000
15139,170.000,0.000
15140,170.000,0.000
15141,171.000,0.000
15142,172.000,0.000
15143,172.000,0.000
15144,173.000,0.000
15145,173.000,0.000
15146,172.000,0.000
15147,171.000,0.000
15148,171.000,0.000
15149,171.000,0.000
15150,171.000,0.000
15151,172.000,0.000
15152,172.000,0.000
15153,173.000,0.000
15154,172.000,0.000
15155,171.000,0.000
15156,171.000,0.000
15157,170.000,0.000
15158,171.000,0.000
15159,171.000,0.000
15160,172.000,0.000
15161,173.000,0.000
15162,173.000,0.000
15163,172.000,0.000
15164,171.000,0.000
15165,171.000,0.000
15166,171.000,0.000
15167,171.000,0.000
15168,172.000,0.000
15169,172.000,0.000
15170,173.000,0.000
15171,172.000,0.000
15172,171.000,0.000
15173,171.000,0.000
15174,170.000,0.000
15175,170.000,0.000
15176,171.000,0.000
15177,172.000,0.000
15178,173.000,0.000
15179,172.000,0.000
15180,172.000,0.000
15181,171.000,0.000
15182,171.000,0.000
15183,170.000,0.000
15184,171.000,0.000
15185,172.000,0.000
15186,173.000,0.000
15187,172.000,0.000
15188,172.000,0.000
15189,172.000,0.000
15190,171.000,0.000
15191,170.000,0.000
15192,170.000,0.000
15193,171.000,0.000
15194,172.000,0.000
15195,172.000,0.000
15196,172.000,0.000
15197,172.000,0.000
15198,171.000,0.000
15199,170.000,0.000
15200,170.000,0.000
15201,171.000,0.000
15202,172.000,0.000
15203,172.000,0.000
15204,173.000,0.000
15205,173.000,0.000
15206,172.000,0.000
15207,171.000,0.000
15208,171.000,0.000
15209,171.000,0.000
15210,172.000,0.000
15211,172.000,0.000
15212,173.000,0.000
15213,173.000,0.000
15214,173.000,0.000
15215,171.000,0.000
15216,171.000,0.000
15217,171.000,0.000
15218,171.000,0.000
15219,172.000,0.000
15220,173.000,0.000
15221,173.000,0.000
15222,173.000,0.000
15223,172.000,0.000
15224,171.000,0.000
15225,171.000,0.000
15226,171.000,0.000
15227,171.000,0.000
15228,172.000,0.000
15229,172.000,0.000
15230,172.000,0.000
15231,172.000,0.000
15232,171.000,0.000
15233,171.000,0.000
15234,170.000,0.000
15235,170.000,0.000
15236,172.000,0.000
15237,173.000,0.000
15238,173.000,0.000
15239,172.000,0.000
15240,172.000,0.000
15241,171.000,0.000
15242,171.000,0.000
15243,170.000,0.000
15244,171.000,0.000
15245,172.000,0.000
15246,173.000,0.000
15247,172.000,0.000
15248,172.000,0.000
15249,171.000,0.000
15250,171.000,0.000
15251,170.000,0.000
15252,170.000,0.000
15253,171.000,0.000
15254,172.000,0.000
15255,172.000,0.000
15256,172.000,0.000
15257,172.000,0.000
15258,171.000,0.000
15259,170.000,0.000
15260,170.000,0.000
15261,171.000,0.000
15262,172.000,0.000
15263,172.000,0.000
15264,172.000,0.000
15265,172.000,0.000
15266,171.000,0.000
15267,170.000,0.000
15268,170.000,0.000
15269,170.000,0.000
15270,171.000,0.000
15271,172.000,0.000
15272,172.000,0.000
15273,172.000,0.000
15274,172.000,0.000
15275,170.000,0.000
15276,170.000,0.000
15277,170.000,0.000
15278,171.000,0.000
15279,171.000,0.000
15280,172.000,0.000
15281,172.000,0.000
15282,172.000,0.000
15283,171.000,0.000
15284,170.000,0.000
15285,170.000,0.000
15286,171.000,0.000
15287,171.000,0.000
15288,172.000,0.000
15289,173.000,0.000
15290,173.000,0.000
15291,172.000,0.000
15292,171.000,0.000
15293,171.000,0.000
15294,171.000,0.000
15295,171.000,0.000
15296,172.000,0.000
15297,173.000,0.000
15298,173.000,0.000
15299,172.000,0.000
15300,172.000,0.000
15301,171.000,0.000
15302,170.000,0.000
15303,170.000,0.000
15304,171.000,0.000
15305,172.000,0.000
15306,173.000,0.000
15307,172.000,0.000
15308,172.000,0.000
15309,171.000,0.000
15310,171.000,0.000
15311,170.000,0.000
15312,171.000,0.000
15313,172.000,0.000
15314,173.000,0.000
15315,173.000,0.000
15316,173.000,0.000
15317,172.000,0.000
15318,171.000,0.000
15319,170.000,0.000
15320,171.000,0.000
15321,171.000,0.000
15322,172.000,0.000
15323,172.000,0.000
15324,173.000,0.000
15325,172.000,0.000
15326,172.000,0.000
15327,171.000,0.000
15328,171.000,0.000
15329,171.000,0.000
15330,172.000,0.000
15331,172.000,0.000
15332,173.000,0.000
15333,173.000,0.000
15334,172.000,0.000
15335,171.000,0.000
15336,171.000,0.000
15337,171.000,0.000
15338,171.000,0.000
15339,172.000,0.000
15340,172.000,0.000
15341,173.000,0.000
15342,172.000,0.000
15343,171.000,0.000
15344,171.000,0.000
15345,171.000,0.000
15346,171.000,0.000
15347,171.000,0.000
15348,172.000,0.000
15349,173.000,0.000
15350,173.000,0.000
15351,172.000,0.000
15352,171.000,0.000
15353,171.000,0.000
15354,171.000,0.000
15355,171.000,0.000
15356,172.000,0.000
15357,172.000,0.000
15358,172.000,0.000
15359,172.000,0.000
15360,171.000,0.000
15361,171.000,0.000
15362,170.000,0.000
15363,170.000,0.000
15364,171.000,0.000
15365,172.000,0.000
15366,173.000,0.000
15367,172.000,0.000
15368,172.000,0.000
15369,171.000,0.000
15370,171.000,0.000
15371,170.000,0.000
15372,171.000,0.000
15373,172.000,0.000
15374,173.000,0.000
15375,172.000,0.000
15376,172.000,0.000
15377,171.000,0.000
15378,171.000,0.000
15379,170.000,0.000
15380,170.000,0.000
15381,171.000,0.000
15382,172.000,0.000
15383,172.000,0.000
15384,172.000,0.000
15385,172.000,0.000
15386,171.000,0.000
15387,170.000,0.000
15388,171.000,0.000
15389,171.000,0.000
15390,172.000,0.000
15391,172.000,0.000
15392,172.000,0.000
15393,172.000,0.000
15394,171.000,0.000
15395,170.000,0.000
15396,170.000,0.000
15397,171.000,0.000
15398,171.000,0.000
15399,172.000,0.000
15400,173.000,0.000
15401,173.000,0.000
15402,172.000,0.000
15403,171.000,0.000
15404,170.000,0.000
15405,171.000,0.000
15406,171.000,0.000
15407,172.000,0.000
15408,172.000,0.000
15409,173.000,0.000
15410,172.000,0.000
15411,171.000,0.000
15412,171.000,0.000
15413,170.000,0.000
15414,171.000,0.000
15415,171.000,0.000
15416,172.000,0.000
15417,173.000,0.000
15418,173.000,0.000
15419,172.000,0.000
15420,171.000,0.000
15421,171.000,0.000
15422,171.000,0.000
15423,171.000,0.000
15424,172.000,0.000
15425,173.000,0.000
15426,173.000,0.000
15427,172.000,0.000
15428,172.000,0.000
15429,171.000,0.000
15430,171.000,0.000
15431,170.000,0.000
15432,171.000,0.000
15433,172.000,0.000
15434,173.000,0.000
15435,172.000,0.000
15436,172.000,0.000
15437,171.000,0.000
15438,171.000,0.000
15439,170.000,0.000
15440,171.000,0.000
15441,172.000,0.000
15442,173.000,0.000
15443,173.000,0.000
15444,173.000,0.000
15445,172.000,0.000
15446,171.000,0.000
15447,170.000,0.000
15448,171.000,0.000
15449,171.000,0.000
15450,172.000,0.000
15451,172.000,0.000
15452,172.000,0.000
15453,172.000,0.000
15454,171.000,0.000
15455,170.000,0.000
15456,170.000,0.000
15457,171.000,0.000
15458,172.000,0.000
15459,172.000,0.000
15460,173.000,0.000
15461,172.000,0.000
15462,172.000,0.000
15463,170.000,0.000
15464,170.000,0.000
15465,170.000,0.000
15466,171.000,0.000
15467,171.000,0.000
15468,172.000,0.000
15469,172.000,0.000
15470,172.000,0.000
15471,170.000,0.000
15472,170.000,0.000
